"id","created_at","text","media_url"
"907714240613699585","2017-09-12 21:15:14","Solved by @andreazonca. Thanks Andrea. https://t.co/awyPSbG46D",""
"907713917639688193","2017-09-12 21:13:57","@andreazonca Is it possible to replace newline characters within tweets with \n? I know it is already valid csv but it'd help.",""
"907705727229231104","2017-09-12 20:41:24","@andreazonca From now on will work.",""
"907697431810363395","2017-09-12 20:08:26","RT @SchwalbeUK: @RTWbike 😬Must have awakened the puncture fairy! If you inadvertently say the P word the antidote is spin round 3 times whi…",""
"907696495759163394","2017-09-12 20:04:43","It'd be great if anyone I know *with experience of automatically grabbing tweets* could make me a daily updating csv file of my tweets.",""
"907691662318751745","2017-09-12 19:45:31","Distance cycled today: 98.4 km (61.1 miles)\nDistance cycled since Kirkenes: 8080.4 km (5020.0 miles)\nPunctures: 1\nFerries: 40",""
"907684109497126912","2017-09-12 19:15:30","@SchwalbeUK I spoke too soon. Got my first puncture yesterday in Brittany. 🙁",""
"907668524067430400","2017-09-12 18:13:34","Brest. https://t.co/Xl7hckws97","http://pbs.twimg.com/media/DJivK9lWsAAKQPC.jpg"
"907668489980268544","2017-09-12 18:13:26","Bridge and sky https://t.co/A9POnmDSbs","http://pbs.twimg.com/media/DJivocdXgAA_kFU.jpg"
"907668459466711040","2017-09-12 18:13:19","The view from Pont Albert Louppe. https://t.co/J3WGOVdIVh","http://pbs.twimg.com/media/DJivnYwX0AEHNfO.jpg"
"907665871526653952","2017-09-12 18:03:02","I can't even get the enthusiasm to go for a shower because I'll have to bring wet stuff back into my tent.",""
"907665538502991873","2017-09-12 18:01:42","This trip would have been much less difficult with less rain.",""
"907665071299547137","2017-09-12 17:59:51","Got my tent up before the rain set in again. ☔ ⛺",""
"907571640741003264","2017-09-12 11:48:35","@astrotour2010 It can get a bit samey after 7900 km. ;)",""
"907571502765178880","2017-09-12 11:48:02","@astrotour2010 Quite a bit",""
"907570732271591424","2017-09-12 11:44:59","Lunch spot https://t.co/gHqlp9xKKL","http://pbs.twimg.com/media/DJhWvIUXcAAB2GV.jpg"
"907570630471684101","2017-09-12 11:44:34","At the museum of 39-45 Memories. https://t.co/QckbB3eKjM","http://pbs.twimg.com/media/DJhWpnpW0AEtSOB.jpg"
"907570433301647362","2017-09-12 11:43:47","Coast https://t.co/aqjRKWjkA4","http://pbs.twimg.com/media/DJhWeSbWsAAlpu1.jpg"
"907570102169735168","2017-09-12 11:42:28","Me (and random tourists photobombing me) https://t.co/E9Umyakg8S","http://pbs.twimg.com/media/DJhWLbKX0AAzPvx.jpg"
"907569853694971906","2017-09-12 11:41:29","🚲 at the westernmost point of France with rain heading my way https://t.co/3tSDTjgutq","http://pbs.twimg.com/media/DJhV8S9W4AAsJPn.jpg"
"907569630570536960","2017-09-12 11:40:36","Westernmost point of France https://t.co/aIfLBTr5lp","http://pbs.twimg.com/media/DJhVvalXcAAQVd-.jpg"
"907569469714833409","2017-09-12 11:39:58","Brittany coast this morning https://t.co/3XRMc92JZu","http://pbs.twimg.com/media/DJhVmhxXkAcNMs_.jpg"
"907568040883179521","2017-09-12 11:34:17","RT @NoelAkers: @RTWbike I like the description of the Celts as 'the people clinging to the western edges of Europe'. Your route,  basically.",""
"907534119306977280","2017-09-12 09:19:29","I'm at the westernmost point of France; Pointe de Corsen. Is this where Asterix and Obelix live?",""
"907313183010037760","2017-09-11 18:41:34","Found a campsite to head to but when I got there it was closed. Out of options I'm wild camping on the campsite. No toilets/showers/water.",""
"907312664438861825","2017-09-11 18:39:30","Had my first puncture of the trip this evening.",""
"907311248588632070","2017-09-11 18:33:53","Estuary https://t.co/8AD8AYD6Xi","http://pbs.twimg.com/media/DJdqvIkXcAATbYQ.jpg"
"907311176320778240","2017-09-11 18:33:36","Church and flowers ⛪ 💐 https://t.co/PRtMXd1kqO","http://pbs.twimg.com/media/DJdqqaHW0AA35HE.jpg"
"907311052622352384","2017-09-11 18:33:06","Lighthouse https://t.co/pT6313IhUV","http://pbs.twimg.com/media/DJdqiutX0AEOI5e.jpg"
"907310925052604417","2017-09-11 18:32:36","Bike on the northern coast of Brittany https://t.co/5j0KbGaREJ","http://pbs.twimg.com/media/DJdqbhsWAAIOwRm.jpg"
"907310689479483392","2017-09-11 18:31:40","Rocky panorama https://t.co/8thJckDViq","http://pbs.twimg.com/media/DJdqPmuXoAA-lJL.jpg"
"907310560424886272","2017-09-11 18:31:09","Looking out to sea https://t.co/CROK9UUUgo","http://pbs.twimg.com/media/DJdqFqMWsAIPhIT.jpg"
"907310345248702465","2017-09-11 18:30:17","Church and rocks in Brittany https://t.co/0lREFSoXBo","http://pbs.twimg.com/media/DJdp5osXkAARPta.jpg"
"907310216928264194","2017-09-11 18:29:47","Boats at low tide https://t.co/gtpGHQAOAa","http://pbs.twimg.com/media/DJdpzWAXkAAMdm_.jpg"
"907310113320566784","2017-09-11 18:29:22","Church https://t.co/zdO6hxpcSO","http://pbs.twimg.com/media/DJdptgDXgAI3V0N.jpg"
"907310076620406785","2017-09-11 18:29:13","Bay https://t.co/hVP0wjCwcy","http://pbs.twimg.com/media/DJdpq73W4AApbVk.jpg"
"907309976791678976","2017-09-11 18:28:50","Windy conditions https://t.co/HFK6iIuHbs","http://pbs.twimg.com/media/DJdplNfW4AAXlPp.jpg"
"907309887822209024","2017-09-11 18:28:28","Rough seas https://t.co/gQN3m7HDaN","http://pbs.twimg.com/media/DJdpfzpW4AEXmns.jpg"
"907309752404922369","2017-09-11 18:27:56","After the rain https://t.co/OrMQliAAqM","http://pbs.twimg.com/media/DJdpYx4X0AAdlC5.jpg"
"907309658481852417","2017-09-11 18:27:34","Roscoff https://t.co/g8kfKwosdq","http://pbs.twimg.com/media/DJdpS2ZXgAAXx4V.jpg"
"907309437861408768","2017-09-11 18:26:41","Channel ferry at Roscoff https://t.co/CZxYtbgNnF","http://pbs.twimg.com/media/DJdpGpBX0AAo-XB.jpg"
"907309336464039936","2017-09-11 18:26:17","Lots of bikes on the ferry this morning https://t.co/0WThplYAZV","http://pbs.twimg.com/media/DJdpAeKX0AAU8JA.jpg"
"907196809914843136","2017-09-11 10:59:09","So far Brittany is much flatter. Yay. But I have a strong westerly wind to go against. Boo.",""
"907128914371387392","2017-09-11 06:29:21","Must remember: cycle on the right. Cycle on the right. Cycle on the right.",""
"907128378158927872","2017-09-11 06:27:13","RT @WeAreCyclingUK: What is the ""Dutch-Reach"" see the video and find out how it could save lives https://t.co/vzky5uIBrk",""
"907128312090243072","2017-09-11 06:26:57","It was sunny for the first five minutes at least before the rain set in :)",""
"907127727169441792","2017-09-11 06:24:38","Bonjour la France. Ça va?",""
"907116282994155520","2017-09-11 05:39:09","But my TdF cycling top does cause me to use Jean Luc's mannerism of constantly stopping his top sliding up.",""
"907114679985729536","2017-09-11 05:32:47","Unfortunately my cabin door doesn't make the whooshing sound.",""
"907112313559375872","2017-09-11 05:23:23","As I sail between Britain and France, with a view of the stars from my cabin, drinking Earl Grey hot (in a cardboar… https://t.co/XNBdb3RSYU",""
"907111666508341248","2017-09-11 05:20:49","@chris_bloke And I'm sailing between Britain and France. My tea set consisted of cardboard cups though.",""
"907110637498720257","2017-09-11 05:16:43","@chris_bloke I like that I read this in a cabin on a ship (ferry), with a view of the stars, as I was brewing a cup of Earl Grey.",""
"906954448009879558","2017-09-10 18:56:05","Unexpected acts of kindness can get pretty emotional at this stage in an endurance trip. Probably everything gets emotional now 😉",""
"906952176236462080","2017-09-10 18:47:03","Massive thanks to Tina and Anne at Brittany Ferries for their help this evening and for upgrading me. I shall start… https://t.co/LDAg5fqrhI",""
"906935137555947520","2017-09-10 17:39:21","Where does the Atlantic end and The Channel begin? I decided Plymouth felt about right.",""
"906930063844823041","2017-09-10 17:19:11","Current progress. Tomorrow morning I set off through France. 🚲 https://t.co/34EOu3tilA","http://pbs.twimg.com/media/DJYQEcQW0AIXf27.jpg"
"906924997729570817","2017-09-10 16:59:03","@AstroSpanner Imagine those hills going on for 4800 miles ;)",""
"906924240343093251","2017-09-10 16:56:03","@Sheena93930558 I don't know.",""
"906915398771232769","2017-09-10 16:20:55","Plymouth Ho. https://t.co/xeX1miqlEn","http://pbs.twimg.com/media/DJYCut2XkAEaJHc.jpg"
"906909689706926081","2017-09-10 15:58:14","It has been roughly 7860 km (4880 miles) to Plymouth. Phew. 🚲",""
"906909118111379458","2017-09-10 15:55:57","Route checklist:\n☑ Norway\n☑ Scotland\n☑ N. Ireland\n☑ Ireland\n☑ Wales\n☑ England\n◻ France\n◻ Spain\n◻ Portugal\n◻ Spain (again)",""
"906900646506504192","2017-09-10 15:22:18","Have fun. Ride a bike. https://t.co/RDrDarhalt","http://pbs.twimg.com/media/DJX1T8lX0AE_VwT.jpg"
"906897704046952449","2017-09-10 15:10:36","@NoelAkers It works! Different style but I'll get used to it and it has improvements over my previous versions. It is routable too. Hooray.",""
"906893672666599424","2017-09-10 14:54:35","@NoelAkers As I lost my original maps on day 1 and haven't been able to get them back.",""
"906893162597273600","2017-09-10 14:52:33","Took the 3pm ferry from Cremyll to Plymouth. Ferry++",""
"906892587503689729","2017-09-10 14:50:16","Now having haddock and chips in Plymouth. I chose the haddock because it is from Osterfjord in Norway. I've cycled past that on this trip.",""
"906891843656404993","2017-09-10 14:47:19","And thanks to @NoelAkers for putting maps of France, Spain, and Portugal on an SD card for me. Hopefully these ones are readable.",""
"906891433558331392","2017-09-10 14:45:41","Thanks to Jo and Tony at Plymouth tourist information office for looking after an SD card for me. https://t.co/Y7UiHBuufN","http://pbs.twimg.com/media/DJXs7n_XUAAhnAt.jpg"
"906872129706188802","2017-09-10 13:28:59","Hey Plymouth. How are you? https://t.co/SCWcs82gDj","http://pbs.twimg.com/media/DJXbYIQXkAAYFT3.jpg"
"906868355340128261","2017-09-10 13:13:59","Hopefully I can coast downhill. (A pun worthy of @chrisenorth 😀) https://t.co/OyrF3LlGC8","http://pbs.twimg.com/media/DJXX6idXoAED6Vr.jpg"
"906867523399901189","2017-09-10 13:10:41","Google maps claims it is more or less downhill for the next 15 km. https://t.co/LVq1kZAXQu","http://pbs.twimg.com/media/DJXXL-oXcAAT674.jpg"
"906867233120538624","2017-09-10 13:09:31","I went through No Man's Land. https://t.co/O9Yo5zH2pw","http://pbs.twimg.com/media/DJXW6scXoAE4rH-.jpg"
"906867069962113024","2017-09-10 13:08:52","🎶 ...is it because I lied when I was 17 🎶 https://t.co/OkbOBAKS3Q","http://pbs.twimg.com/media/DJXWx-FX0AEZHlP.jpg"
"906862646015688704","2017-09-10 12:51:18","Very nearly doored by somebody not looking as they got out of their car on a narrow road. Always look.",""
"906846184869957632","2017-09-10 11:45:53","Thanks to the lovely people at Crumpets in Polruan for donating the cost of my late breakfast to @MSF_uk https://t.co/oPOPna8xOS","http://pbs.twimg.com/media/DJXDxh6WAAAYzDM.jpg"
"906816384050626560","2017-09-10 09:47:28","Looking back over to Fowey https://t.co/HI25THWkmM","http://pbs.twimg.com/media/DJWorOLW0AIem9R.jpg"
"906816288005246978","2017-09-10 09:47:05","Crossing from Fowey to Polruan. Ferry++ https://t.co/U94ORACZVp","http://pbs.twimg.com/media/DJWolvxWAAEDkDf.jpg"
"906816123324301313","2017-09-10 09:46:26","Mevagissey https://t.co/BeZgaOE4Bx","http://pbs.twimg.com/media/DJWoby7WsAADCBH.jpg"
"906816051865931776","2017-09-10 09:46:09","Near Mevagissey https://t.co/k4S5b9ZhTy","http://pbs.twimg.com/media/DJWoYL6WsAAQnpH.jpg"
"906815978553712640","2017-09-10 09:45:51","Earlier start this morning https://t.co/srNRJN1Cqk","http://pbs.twimg.com/media/DJWoTOIXgAA-CIM.jpg"
"906645900637995008","2017-09-09 22:30:02","Watch out for the pigeon 🕊",""
"906644339618668544","2017-09-09 22:23:49","A flashback to cycling along #NCN4 towards Swansea just over a week ago. https://t.co/KYwGCM4O3O","http://pbs.twimg.com/ext_tw_video_thumb/906641427152728065/pu/img/b_ldNUJ8C0fGoyJY.jpg"
"906634365525950472","2017-09-09 21:44:11","Today's elevation profile. Another Ben Nevis of gain. https://t.co/UCPpadGZO0","http://pbs.twimg.com/media/DJUDJcNXkAUVOvT.jpg"
"906595399791779841","2017-09-09 19:09:21","Getting close to sunset. #Cornwall https://t.co/UjhNdcDRSs","http://pbs.twimg.com/media/DJTfrY1XoAIfF-4.jpg"
"906595282632282114","2017-09-09 19:08:53","Caerhays castle. #NCN3 https://t.co/Ohz3V6B6bL","http://pbs.twimg.com/media/DJTfjKvXgAAEaQX.jpg"
"906594878087409664","2017-09-09 19:07:17","Views from the #NCN3 after Pendower beach. https://t.co/0aolN6eCqr","http://pbs.twimg.com/media/DJTfMMwXcAAt2Z3.jpg"
"906594526898409479","2017-09-09 19:05:53","The road was gone thanks to coastal erosion.",""
"906594394731577344","2017-09-09 19:05:22","Gill and Stuart from York who I talked to at Pendower beach (just after I'd talked to a couple from Ripon) whilst n… https://t.co/U3FSusx8GJ",""
"906593214056067073","2017-09-09 19:00:40","View from the #NCN3 https://t.co/mcqq9x8i1O","http://pbs.twimg.com/media/DJTdsQfW0AM1WGW.jpg"
"906593116446130176","2017-09-09 19:00:17","St Mawes https://t.co/ojg8MnuqUw","http://pbs.twimg.com/media/DJTdmFrW4Agpkan.jpg"
"906589514965159936","2017-09-09 18:45:58","@zitro_aronos It is still going ;)",""
"906551158931705856","2017-09-09 16:13:33","St Mawes. Looking back to Falmouth. https://t.co/86gjtCDnkf","http://pbs.twimg.com/media/DJS3cbyXkAI45Te.jpg"
"906546078740303874","2017-09-09 15:53:22","Just made the ferry from Falmouth to St Mawes. Ferry++ https://t.co/3RjRu1SmKW","http://pbs.twimg.com/media/DJSy1naXcAAwBbK.jpg"
"906545348075810817","2017-09-09 15:50:28","North of Gweek. https://t.co/k6lDM9NxMn","http://pbs.twimg.com/media/DJSyKoTWAAA2PF6.jpg"
"906527916913242112","2017-09-09 14:41:12","Gweek boats https://t.co/UL0CaVYxzp","http://pbs.twimg.com/media/DJSiO8iXgAAIixD.jpg"
"906521045657686016","2017-09-09 14:13:54","Hello Goonhilly. At one point this was possibly going to be part of the UK's eMerlin radio interferometer. https://t.co/i1Ansrq3qA","http://pbs.twimg.com/media/DJScDaDW0AEplyN.jpg"
"906506280583528448","2017-09-09 13:15:14","@zemogle Hope you're all OK.",""
"906505642222989313","2017-09-09 13:12:41","Having a really nice cream tea at Britain's second most southerly cafe (25m up from the other one) as the queue was… https://t.co/VZzZkFKRyx",""
"906504533353930752","2017-09-09 13:08:17","Extreme points (mainlands) visited on this bike trip 🚲:\nEurope: ☑ N, ◻ W, ◻ S\nBritain: ☑ N, ☑ W, ☑ S\nIreland: ☑ N,… https://t.co/7hrYuG1vWU",""
"906503769034289152","2017-09-09 13:05:15","At The Lizard; Britain's most southerly point. https://t.co/mRhCEM53AZ","http://pbs.twimg.com/media/DJSLWQTWsAEFWF0.jpg"
"906503730773872640","2017-09-09 13:05:06","""Britain's most southerly cafe"" https://t.co/LSyO5ASaxQ","http://pbs.twimg.com/media/DJSMTl0XoAIkYjR.jpg"
"906503720116133888","2017-09-09 13:05:03","St Michael's Mount https://t.co/rRHGP5Gcd3","http://pbs.twimg.com/media/DJSKywJWAAI9mO3.jpg"
"906471110824349699","2017-09-09 10:55:28","🚲 panorama near Penzance https://t.co/6hyrQLNrzU","http://pbs.twimg.com/media/DJRup5hXgAAz3U6.jpg"
"906467752038236160","2017-09-09 10:42:08","Pirates (?) of Penzance https://t.co/YpHu4KrSjk","http://pbs.twimg.com/media/DJRrlc8XUAAGPMX.jpg"
"906467629522673664","2017-09-09 10:41:38","Heading to Penzance panorama https://t.co/r2m08ujC9p","http://pbs.twimg.com/media/DJRrfN0W4AEuA8d.jpg"
"906467501508321280","2017-09-09 10:41:08","Mousehole and beyond https://t.co/ln85qSMgiU","http://pbs.twimg.com/media/DJRrXQ4XkAAybyw.jpg"
"906467431501242373","2017-09-09 10:40:51","Looking out to sea https://t.co/f2jQEu814Z","http://pbs.twimg.com/media/DJRrTldXoAAivl_.jpg"
"906467391416225793","2017-09-09 10:40:42","Lamorna Wink pub https://t.co/8iFO3yWycU","http://pbs.twimg.com/media/DJRrQVTW0AAuIgc.jpg"
"906467268355346434","2017-09-09 10:40:12","At the Merry Maidens https://t.co/sLsUMkMLIn","http://pbs.twimg.com/media/DJRrJDTXkAACy0G.jpg"
"906440718583025664","2017-09-09 08:54:42","Clearly the sunshine has been joined by rain showers but I got to put away a dry tent before that.",""
"906439573181534208","2017-09-09 08:50:09","The lady running the campsite says the weather is more like winter. It's better than I've had though so I'll take it.",""
"906439230968168448","2017-09-09 08:48:48","It rained on and off through the night. What luxury to wake up with sunshine though?",""
